Abilene Christian University	info@admissions.acu.edu
University Of Bridgeport	admit@bridgeport.edu
University Of Bristol	choose-bristol@bristol.ac.uk
University Of Calgary	future.students@ucalgary.ca
University Of California At Merced	admissions@ucmerced.edu
University Of California Davis	undergraduateadmissions@ucdavis.edu
University Of California Irvine	admissions@uci.edu
University Of California Riverside	admissions@ucr.edu
University Of California Santa Barbara	admissions@sa.ucsb.edu
University Of California Santa Cruz	admissions@ucsc.edu
University Of Central Arkansas	admissions@uca.edu
University Of Central Florida	admissions@ucf.edu
University Of Central Missouri	admit@ucmo.edu
University Of Central Oklahoma	onestop@uco.edu
University Of Charleston	admissions@ucwv.edu
University Of Chicago	collegeadmissions@uchicago.edu
University Of Cincinnati	admissions@uc.edu
University Of Cincinnati Blue Ash College And Clermont College	admissions@ucblueash.edu
University Of Cincinnati Clermont College	clermont.admissions@uc.edu
University Of College Dublin	northamerica@ucd.ie
University Of Colorado Boulder	admissions@colorado.edu
University Of Colorado Colorado Springs	go@uccs.edu
University Of Colorado Denver	admissions@ucdenver.edu
University Of Connecticut	beahusky@uconn.edu
University Of Dallas	crusasder@udallas.edu
University Of Dallas	ugadmis@udallas.edu
University Of Dayton	admission@udayton.edu
University Of Delaware	admissions@udel.edu
University Of Denver	admission@du.edu
University Of Detroit Mercy	admissions@udmercy.edu
University Of Dubuque	admssns@dbq.edu
University Of East Anglia	admissions@uea.ac.uk
University Of East London	americas@uel.ac.uk
University Of Evansville	admission@evansville.edu
University Of Findlay	admissions@findlay.edu
University Of Florida	webrequests@admissions.ufl.edu
University Of Georgia	adm-info@uga.edu
University Of Glasgow	student.recruitment@glasgow.ac.uk
University Of Guam	admitme@triton.uog.edu
University Of Guelph	intapps@uoguelph.ca
University Of Hartford	admission@hartford.edu
University Of Hawaii At Hilo	uhhadm@hawaii.edu
University Of Hawaii At Manoa	manoa.admissions@hawaii.edu
University Of Hawaii West Oahu	uhwo.admissions@hawaii.edu
University Of Holy Cross	admissions@uhcno.edu
University Of Hong Kong	admissions@hku.hk
University Of Houston	admissions@uh.edu
University Of Houston Clear Lake	admissions@uhcl.edu
University Of Houston Downtown	uhdadmit@uhd.edu
University Of Houston Victoria	admissions@uhv.edu
University Of Huddersfield	international.office@hud.ac.uk
University Of Idaho	admissions@uidaho.edu
University Of Idaho	admappl@uidaho.edu
University Of Illinois At Chicago	admit@uic.edu
University Of Illinois Chicago	admissions@uic.edu
University Of Illinois Springfield	admissions@uis.edu
University Of Indianapolis	admissions@uindy.edu
University Of Iowa	admissions@uiowa.edu
University Of Jamestown	admissions@uj.edu
University Of Kansas	admissions@ku.edu
University Of Kentucky	admissions@uky.edu
University Of La Verne	admission@laverne.edu
University Of Lethbridge	admissions@uleth.ca
University Of Limerick	international@ul.ie
University Of Lincoln	intadmissions@lincoln.ac.uk
University Of Louisiana At Lafayette	admissions@louisiana.edu
University Of Louisiana At Monroe	admissions@ulm.edu
University Of Louisville	admitme@louisville.edu
University Of Lynchburg	admissions@lynchburg.edu
University Of Maine	umaineadmissions@maine.edu
University Of Maine At Augusta	umaadm@maine.edu
University Of Maine Augusta	umaadmin@maine.edu
University Of Maine Farmington	umfadmit@maine.edu
University Of Maine Fort Kent	umfkadm@maine.edu
University Of Maine Machias	ummadmissions@maine.edu
University Of Maine Presque Isle	umpi-admissions@maine.edu
University Of Maine Presque Isle	admissions@maine.edu
University Of Mary	enroll@umary.edu
University Of Mary Hardin Baylor	admission@umhb.edu
University Of Mary Washington	admit@umw.edu
University Of Maryland Baltimore County	admissions@umbc.edu
University Of Maryland Eastern Shore	umesadmissions@umes.edu
University Of Maryland University College	admissions@umuc.edu
University Of Massachusetts Boston	enrollment.info@umb.edu
University Of Massachusetts Boston	undergrad.admissions@umb.edu
University Of Massachusetts Dartmouth	admissions@umassd.edu
University Of Massachusetts Lowell	admissions@uml.edu
University Of Memphis	recruitment@memphis.edu
University Of Miami	admission@miami.edu
University Of Michigan Dearborn	umd-admissions@umich.edu
University Of Michigan Flint	admissions@umflint.edu
University Of Michigan Shanghai Jiao Tong University Of Joint Institute	ji-intadm@sjtu.edu.cn
University Of Minnesota At Crookston	umcinfo@umn.edu
University Of Minnesota Duluth	umdadmis@d.umn.edu
University Of Minnesota Morris	admissions@morris.umn.edu
University Of Minnesota Rochester	applyumr@r.umn.edu
University Of Minnesota Twin Cities	admissions@umn.edu
University Of Missouri	askmizzou@missouri.edu
University Of Missouri Columbia	mu4u@missouri.edu
University Of Missouri Kansas City	admit@umkc.edu
University Of Missouri St Louis	admissions@umsl.edu
University Of Mobile	umenrollment@umobile.edu
University Of Montevallo	admissions@montevallo.edu
University Of Mount Union	admission@mountunion.edu
University Of Nebraska Kearney	admissionsug@unk.edu
University Of Nebraska Lincoln	admissions@unl.edu
University Of Nebraska Omaha	unoadmissions@unomaha.edu
University Of Nevada Las Vegas Unlv	admissions@unlv.edu
University Of Nevada Reno	asknevada@unr.edu
University Of New England	admissions@une.edu
University Of New Hampshire	admissions@unh.edu
University Of New Hampshire	manchester@unh.edu
University Of New Haven	admissions@newhaven.edu
University Of New Orleans	admission@uno.edu
University Of North Alabama	admissions@una.edu
University Of North Carolina Asheville	admissions@unca.edu
University Of North Carolina At Pembroke	admissions@uncp.edu
University Of North Carolina Chapel Hill	unchelp@admissions.unc.edu
University Of North Carolina Charlotte	admissions@uncc.edu
University Of North Carolina Greensboro	admissions@uncg.edu
University Of North Carolina School Of The Arts	admissions@uncsa.edu
University Of North Carolina Wilmington	admissions@uncw.edu
University Of North Dakota	admissions@und.edu
University Of North Florida	admissions@unf.edu
University Of North Georgia	admissions-dah@ung.edu
University Of North Texas	unt.freshman@unt.edu
University Of Northern Colorado	admissions@unco.edu
University Of Northern Iowa	admissions@uni.edu
University Of Northwestern St Paul	admissions@unwsp.edu
University Of Notre Dame	admissions@nd.edu
University Of Oklahoma	admissions@ou.edu
University Of Oregon	uoadmit@uoregon.edu
University Of Pacific	admission@pacific.edu
University Of Pennsylvania	info@admissions.upenn.edu
University Of Pikeville	wewantyou@upike.edu
University Of Pittsburgh	oafa@pitt.edu
University Of Pittsburgh At Bradford	nazemetz@pitt.edu
University Of Pittsburgh At Greensburg	upgadmit@pitt.edu
University Of Pittsburgh At Johnstown	upjadmit@pitt.edu
University Of Plymouth	international-admissions@plymouth.ac.uk
University Of Portland	admissions@up.edu
University Of Providence	admissions@uprovidence.edu
University Of Puerto Rico Arecibo	admisiones.arecibo@upr.edu
University Of Puerto Rico Bayamon	admisiones.bayamon@upr.edu
University Of Puerto Rico Ponce	emily.matos@upr.edu
University Of Puget Sound	admission@pugetsound.edu
University Of Redlands	admissions@redlands.edu
University Of Rhode Island	admission@uri.edu
University Of Richmond	admission@richmond.edu
University Of Rio Grande	admissions@rio.edu
University Of Rochester	admit@admissions.rochester.edu
University Of Saint Francis Fort Wayne Indiana	admis@sf.edu
University Of Saint Joseph	admissions@usj.edu
University Of San Diego	admissions@sandiego.edu
University Of San Francisco	admissions@usfca.edu
University Of Saskatchewan	admissions@usask.ca
University Of Science And Arts Of Oklahoma	usao-admissions@usao.edu
University Of Sciences	admit@usciences.edu
University Of Scranton	admissions@scranton.edu
University Of Sheffield	shefapply@sheffield.ac.uk
University Of Sioux Falls	admissions@usiouxfalls.edu
University Of South Alabama	admiss@southalabama.edu
University Of South Carolina Aiken	admit@usca.edu
University Of South Carolina Beaufort	admissions@uscb.edu
University Of South Carolina Columbia	admissions-ugrad@sc.edu
University Of South Carolina Upstate	admissions@uscupstate.edu
University Of South Dakota	admissions@usd.edu
University Of South Florida	admissions@usf.edu
University Of South Florida Sarasota Manatee	admissions@sar.usf.edu
University Of Southern Indiana	enroll@usi.edu
University Of Southern Maine	admitusm@maine.edu
University Of Southern Mississippi	admissions@usm.edu
University Of St Andrews	myapplication@st-andrews.ac.uk
University Of St Francis Il	admissions@stfrancis.edu
University Of St Mary	admiss@stmary.edu
University Of St Thomas	admissions@stthom.edu
University Of St Thomas Mn	admissions@stthomas.edu
University Of Stirling	admissions@stir.ac.uk
University Of Tampa	admissions@ut.edu
University Of Tennessee At Chattanooga	utcmocs@utc.edu
University Of Tennessee At Martin	admitme@utm.edu
University Of Tennessee Knoxville	admissions@utk.edu
University Of Texas At Arlington	admissions@uta.edu
University Of Texas At Dallas	interest@utdallas.edu
University Of Texas At El Paso	futureminer@utep.edu 
University Of Texas At San Antonio	prospects@utsa.edu
University Of Texas At Tyler	admissions@uttyler.edu
University Of The Cumberlands	admiss@ucumberlands.edu
University Of The District Of Columbia	udcadmissions@udc.edu
University Of The Incarnate Word	admis@uiwtx.edu
University Of The Ozarks	admiss@ozarks.edu
University Of The Pacific	admissions@pacific.edu
University Of The Southwest	admission@usw.edu
University Of The Virgin Islands	admissions@uvi.edu
University Of Toledo	enroll@utoledo.edu
University Of Toronto	admissions.help@utoronto.ca
University Of Tulsa	admission@utulsa.edu
University Of Vermont	admissions@uvm.edu
University Of Virginia	undergradadmission@virginia.edu
University Of Virginias College Wise	admissions@uvawise.edu
University Of Warwick	ugadmissions@warwick.ac.uk
University Of Washington Bothell	uwbinfo@uw.edu
University Of Washington Tacoma	uwtinfo@uw.edu
University Of West	admission@uwest.edu
University Of West Alabama	admissions@uwa.edu
University Of West Florida	admissions@uwf.edu
University Of West Georgia	admiss@westga.edu
University Of West London	international@uwl.ac.uk
University Of Windsor	admissions@uwindsor.ca
University Of Wisconsin Eau Claire	admissions@uwec.edu
University Of Wisconsin Green Bay	admissions@uwgb.edu
University Of Wisconsin La Crosse	admissions@uwlax.edu
University Of Wisconsin Milwaukee	uwmlook@uwm.edu
University Of Wisconsin Oshkosh	admissions@uwosh.edu
University Of Wisconsin Parkside	admissions@uwp.edu
University Of Wisconsin Platteville	admit@uwplatt.edu
University Of Wisconsin River Falls	admissions@uwrf.edu
University Of Wisconsin Stevens Point	admiss@uwsp.edu
University Of Wisconsin Stout	admissions@uwstout.edu
University Of Wisconsin Superior	admissions@uwsuper.edu
University Of Wisconsin Whitewater	uwwadmit@uww.edu
University Of Wyoming	admissions@uwyo.edu
University Worcester Uk	international@worc.ac.uk
Upper Iowa University	ADMISSION@uiu.edu
Urbana University 	admissions@urbana.edu
Ursinus College	admission@ursinus.edu
Ursuline College	admission@ursuline.edu
Utah State University	admit@usu.edu
Utah Valley University	admissions@uvu.edu
Utica College	admiss@utica.edu
Valdosta State University	admissions@valdosta.edu
Valley City State University	enrollment.services@vcsu.edu
Valparaiso University	undergrad.admission@valpo.edu
Vanderbilt University	admissions@vanderbilt.edu
Vandercook College Of Music	admissions@vandercook.edu
Vanguard University Of Southern California	admissions@vanguard.edu
Vassar College	admissions@vassar.edu
Vaughn College Of Aeronautics And Technology	admitme@vaughn.edu
Vermont Technical College	admissions@vtc.edu
Villanova University	gotovu@villanova.edu
Virginia Commonwealth University	ugrad@vcu.edu
Virginia Military Institute	admissions@vmi.edu
Virginia Polytechnic Institute And State University	admissions@vt.edu
Virginia State University	admiss@vsu.edu
Virginia Union University	admissions@vuu.edu
Virginia University Of Lynchburg	admissions@vul.edu
Virginia Wesleyan University	admissions@vwu.edu
Viterbo University	admission@viterbo.edu
Voorhees College	admissions@voorhees.edu
Wabash College	admissions@wabash.edu
Wagner College	admissions@wagner.edu
Wake Forest University	admissions@wfu.edu
Waldorf University	admissions@waldorf.edu
Walla Walla University	admiss1@wallawalla.edu
Walsh University	admissions@walsh.edu
Warner Pacific University	admission@warnerpacific.edu
Warner Pacific University	admissions@warnerpacific.edu
Warner University	admissions@warner.edu
Warren Wilson College	admit@warren-wilson.edu
Wartburg College	admissions@wartburg.edu
Warwick University Of The	northamerica@warwick.ac.uk
Washburn University	admissions@washburn.edu
Washington Adventist University	enroll@wau.edu
Washington And Lee University	admissions@wlu.edu
Washington College	wc_inquiries@washcoll.edu
Washington College	wc_admissions@washcoll.edu
Washington Jefferson College	admission@washjeff.edu
Washington State University	admissions@wsu.edu
Washington University of St Louis	admissions@wustl.edu
Watkins College Art Design Film	admissions@watkins.edu
Wayland Baptist University	admityou@wbu.edu
Wayne State College	admit1@wsc.edu
Wayne State University	admissions@wayne.edu
Waynesburg University	admissions@waynesburg.edu
Webb Institute	admissions@webb.edu
Webber International University	admissions@webber.edu
Weber State University	admissions@weber.edu
Webster University	admit@webster.edu
Welch College	recruit@welch.edu
Wellesley College	admissions@wellesley.edu
Wells College	admissions@wells.edu
Wentworth Institute Technology	admissions@wit.edu
Wesley College	admissions@wesley.edu
Wesleyan College	admissions@wesleyancollege.edu
Wesleyan University	admission@wesleyan.edu
West Chester University	ugadmiss@wcupa.edu
West Liberty University	admissions@westliberty.edu
West Texas Am University	admissions@wtamu.edu
West Virginia State University	admissions@wvstateu.edu
West Virginia University	wvuadmissions@mail.wvu.edu
West Virginia University	go2wvu@mail.wvu.edu
West Virginia University Institute Of Technology	tech-admissions@mail.wvu.edu
West Virginia University Parkersburg	admissions@wvup.edu
West Virginia Wesleyan College	admissions@wvwc.edu
Western Carolina University	admiss@wcu.edu
Western Connecticut State University	admissions@wcsu.edu
Western Illinois University	admissions@wiu.edu
Western Kentucky University	admission@wku.edu
Western Michigan University	admissions-info@wmich.edu
Western Michigan University	ask-wmu@wmich.edu
Western New England University	cwystepe@wne.edu
Western New Mexico University	admissions@wnmu.edu
Western Oregon University	worlfgram@wou.edu
Western State Colorado University	admissions@western.edu
Western State Colorado University	discover@western.edu
Western University	reg-admissions@uwo.ca
Western Washington University	admit@wwu.edu
Westfield State University	admissions@westfield.ma.edu
Westminster College	admis@westminster.edu
Westminster College Missouri	admissions@westminster-mo.edu
Westminster College Utah	admission@westminstercollege.edu
Westmont College	admissions@westmont.edu
Wheaton College Il	admissions@wheaton.edu
Wheaton College Massachusetts	admission@wheatoncollege.edu
Wheeling Jesuit University	admiss@wju.edu
Whitman College	admission@whitman.edu
Whittier College	admission@whittier.edu
Whitworth University	admissions@whitworth.edu
Wichita State University	admissions@wichita.edu
Widener University	admissions.office@widener.edu
Wilberforce University	admission@wilberforce.edu
Wilkes Honors College	hcadmissions@fau.edu
Wilkes University	admissions@wilkes.edu
Willamette University	bearcat@willamette.edu
William Carey University	admissions@wmcarey.edu
William Jessup University	admissions@jessup.edu
William Jewell College	admission@william.jewell.edu
William Paterson University Nj	admissions@wpunj.edu
William Peace University	admissions@peace.edu
William Penn University	admissions@wmpenn.edu
William Woods University	admissions@williamwoods.edu
Williams Baptist College	admissions@wbcoll.edu
Williams College	admission@williams.edu
Wilmington College	admissions@wilmington.edu
Wilmington University	infocenter@wilmu.edu
Wilson College	admissions@wilson.edu
Wingate University	admit@wingate.edu
Winona State University	admissions@winona.edu
Winston Salem State University	admissions@wssu.edu
Winthrop University	admissions@winthrop.edu
Wisconsin Lutheran College	admissions@wlc.edu
Wittenberg University	admission@wittenberg.edu
Wofford College	admission@wofford.edu
Woodbury University	info@woodbury.edu
Worcester Polytechnic Institute	admissions@wpi.edu
Worcester State University	admissions@worcester.edu
Wright State University	admissions@wright.edu
Wright State University Lake Campus	discoverlakecampus@wright.edu
Wyoming Catholic College	admissions@wyomingcatholiccollege.com
Xavier University	xuadmit@xavier.edu
Xavier University	admissions@xula.edu
Xavier University Of Louisiana	apply@xula.edu
Yale Nus College	admissions@yale-nus.edu.sg
Yale University	student.questions@yale.edu
Yeshiva University	yuadmit@yu.edu
York College	admissions@ycp.edu
York College	enroll@york.edu
York University	intlenq@yorku.ca
Young Harris College	admissions@yhc.edu
Youngstown State University	enroll@ysu.edu
